 idtp | idspec |    idspcion    |                                                       namespcion                                                       | idotdel | base | yearentrance | srok | month1 |                                                 tpnote                                                  
 1056 |     13 | 01             | Организация производства                                                                                               |       2 |    2 |         2008 |  5.5 |        | (филиал в г. Сергиев Посад)
  624 |     19 | 120000(120103) | Общая технология авторемонтного производства                                                                           |       2 |    0 |         2007 |  5.5 |        | 
 1057 |     11 | 02             | Гражданско-правовая                                                                                                    |       2 |    2 |         2009 |    5 |      7 | (филиал в г. Сергиев Посад)
 1040 |     10 | 11             | Производственный менеджмент                                                                                            |       2 |    6 |         2007 |  3.5 |        | (филиал в г.Вязьме)
 1030 |     17 | 14             | Фирменный автосервис                                                                                                   |       2 |    2 |         2007 |  5.5 |        | (филиал в г.Вязьме)
 1025 |      6 |                | Корпоративные информационные системы                                                                                   |       2 |    2 |         2007 |  5.5 |        | (филиал в г.Вязьме)
 1021 |     10 | 11             | Производственный менеджмент                                                                                            |       1 |    0 |         2008 |    5 |        | (филиал в г.Вязьме)
 1029 |      6 |                | Корпоративные информационные системы                                                                                   |       2 |    2 |         2007 |  5.5 |        | (филиал в г.Вязьме)
  441 |     20 | 46             | Автоматические и электронные системы транспортных средств                                                              |       2 |    1 |         2004 |    4 |        | 
  794 |     10 |                | Управление экономической безопасностью                                                                                 |       1 |    0 |         2009 |    5 |        | 
  795 |     17 | 15             | Безопасность автомобиля                                                                                                |       2 |    1 |         2006 |    4 |        | (филиал в городе Киров)
  862 |     52 | 05             | Финансовый менеджмент                                                                                                  |       1 |    0 |         2010 |    5 |        | 
 1015 |     15 |                |                                                                                                                        |       1 |    2 |         2009 |    4 |        | 
 1047 |     17 | 14             | Фирменный автосервис                                                                                                   |       2 |    1 |         2007 |    4 |        | (филиал в г.Вязьме)
  854 |     51 |                |                                                                                                                        |       1 |    0 |         2010 |    5 |        | 
  641 |     13 | 01             | Организация производства                                                                                               |       2 |    6 |         2003 |  3.5 |        | (филиал в г. Сергиев Посад)
  996 |      8 |                |                                                                                                                        |       1 |    0 |         2009 |    5 |        | 
  442 |     20 | 46             | Автоматические и электронные системы транспортных средств                                                              |       2 |    2 |         2004 |  5.5 |        | 
  999 |     17 | 15             | Безопасность автомобиля                                                                                                |       2 |    6 |         2008 |  3.5 |        | филиал в городе Киров
  386 |     58 |                |                                                                                                                        |       2 |    2 |         2006 |  5.5 |        | 
  449 |     13 | 08             | Управление финансами на предприятии                                                                                    |       3 |    0 |         2005 |    6 |        | 
 1013 |     11 | 02             | Гражданско-правовая                                                                                                    |       1 |    0 |         2008 |    5 |        | 
  515 |     17 | 14             |                                                                                                                        |       1 |    0 |         2000 |  5.5 |        | 
 1036 |     24 | 01             | Бухгалтерский учет, анализ и аудит в коммерческих организациях (кроме банков и других финансово-кредитных организаций) |       2 |    6 |         2007 |  3.5 |        | (филиал в г.Вязьме)
 1044 |      6 |                | Корпоративные информационные системы                                                                                   |       2 |    6 |         2007 |  3.5 |        | (филиал в г.Вязьме)
  962 |     10 | 11             | Производственный менеджмент                                                                                            |       3 |    0 |         2010 |  5.5 |        | 
  965 |     19 |                |                                                                                                                        |       1 |    0 |         2009 |    5 |        | (филиал в г.Кинешме)
  966 |     17 | 14             | Фирменный автосервис                                                                                                   |       1 |    0 |         2009 |    5 |        | (филиал в г.Кинешме)
 1037 |     24 | 01             | Бухгалтерский учет, анализ и аудит в коммерческих организациях (кроме банков и других финансово-кредитных организаций) |       2 |    6 |         2007 |  3.5 |        | (филиал в г.Вязьме)
  995 |     13 | 01             | Организация производства                                                                                               |       3 |    0 |         2008 |    6 |        | Второе высшее для специальности 050501
  690 |     13 | 08             | Управление финансами на предприятии                                                                                    |       1 |    0 |         2007 |    5 |        | (филиал в г.Кинешме)
  717 |     78 | 08             | Управление финансами на предприятии                                                                                    |       2 |    2 |         2006 |  5.5 |        | (филиал в городе Киров)
 1055 |     11 | 02             | Гражданско-правовая                                                                                                    |       2 |    2 |         2008 |  5.5 |        | (филиал в г. Сергиев Посад)
  904 |     10 | 03             | Инновационный менеджмент                                                                                               |       1 |    2 |         2010 |    5 |        | (филиал в городе Вязьме)
  336 |     52 | 05             | Финансовый менеджмент                                                                                                  |       2 |    6 |         2007 |  3.5 |        | 
  595 |     24 | 01             | Бухгалтерский учет, анализ и аудит в коммерческих организациях (кроме банков и других финансово-кредитных организаций) |       2 |    6 |         2006 |  3.5 |        | 
  902 |     24 | 04             | Бухгалтерский учет, анализ и контроль внешнеэкономической деятельности                                                 |       1 |    2 |         2010 |    5 |        | (филиал в городе Вязьме)
  905 |     10 | 48             | Менеджмент туризма                                                                                                     |       1 |    2 |         2010 |    5 |        | (филиал в г. Вязьме)
  906 |     10 | 21             | Менеджмент торговых предприятий                                                                                        |       1 |    2 |         2010 |    5 |        | (филиал в г. Вязьме)
  907 |     10 | 28             | Менеджмент в спорте                                                                                                    |       1 |    2 |         2010 |    5 |        | (филиал в г. Вязьме)
  909 |     27 | 03             | Конструирование автоматизированных машин и гибких систем ОМД                                                           |       1 |    0 |         2008 |    5 |        | 
  917 |     58 |                |                                                                                                                        |       1 |    0 |         2008 |    5 |        | 
  867 |      4 | 09             | Проектирование и эксплуатация автоматизированного производства                                                         |       1 |    0 |         2008 |    5 |        | 
  872 |     25 | 01             | Производство сварных конструкций                                                                                       |       1 |    0 |         2008 |    5 |        | 
  874 |     16 |                |                                                                                                                        |       1 |    0 |         2008 |    5 |        | 
  875 |     17 | 01             | Автомобили                                                                                                             |       1 |    0 |         2008 |    5 |        | 
  876 |     17 | 04             | Автомобильные кузова                                                                                                   |       1 |    0 |         2008 |    5 |        | 
  881 |      7 |                |                                                                                                                        |       1 |    0 |         2008 |    5 |        | 
  882 |     20 | 46             | Автоматические и электронные системы транспортных средств                                                              |       1 |    0 |         2008 |    5 |        | 
  883 |     20 |                |                                                                                                                        |       1 |    0 |         2008 |    5 |        | 
  885 |      5 |                |                                                                                                                        |       1 |    0 |         2008 |    5 |        | 
  887 |     13 | 08             | Управление финансами на предприятии                                                                                    |       1 |    0 |         2009 |    5 |        | 
  889 |     10 | 11             | Производственный менеджмент                                                                                            |       1 |    0 |         2009 |    5 |        | 
  890 |     51 |                |                                                                                                                        |       1 |    0 |         2009 |    5 |        | 
  892 |     52 | 05             | Финансовый менеджмент                                                                                                  |       1 |    0 |         2009 |    5 |        | 
  775 |      6 | 07             | Производственный менеджмент                                                                                            |       2 |    2 |         2005 |  5.5 |        | (филиал в г. Кинешме)
  776 |      6 |                | Корпоративные информационные системы                                                                                   |       2 |    2 |         2007 |  5.5 |        | (филиал в г. Кинешме)
  777 |     13 | 08             | Управление финансами на предприятии                                                                                    |       2 |    2 |         2004 |  5.5 |        | (филиал в г. Кинешме)
  811 |     17 | 15             | Безопасность автомобиля                                                                                                |       1 |    2 |         2009 |    5 |        | (филиал в городе Киров)
  813 |     17 | 14             | Фирменный автосервис                                                                                                   |       2 |    2 |         2009 |  5.5 |        | (филиал в городе Киров)
  816 |     10 | 11             | Производственный менеджмент                                                                                            |       2 |    2 |         2004 |  5.5 |        | (филиал в г. Киров)
  817 |     57 |                |                                                                                                                        |       2 |    0 |         2009 |    4 |        | (филиал в городе Киров)
  823 |     24 |                |                                                                                                                        |       1 |    0 |         2009 |    5 |        | (филиал в г. Вязьме)
  670 |     17 | 14             | Фирменный автосервис                                                                                                   |       2 |    2 |         2008 |  5.5 |        | (филиал в городе Киров)
  674 |     10 | 11             | Производственный менеджмент                                                                                            |       2 |    2 |         2008 |  5.5 |        | (филиал в г. Киров)
  677 |     81 | 38             | Механика многофазовых систем                                                                                           |       1 |    0 |         2003 |    5 |        | (филиал в г.Сергиев Посад МО)
  678 |     81 | 24             | Химическая физика                                                                                                      |       1 |    0 |         2003 |    5 |        | (филиал в г.Сергиев Посад МО)
  679 |     13 | 01             | Организация производства                                                                                               |       1 |    0 |         2002 |    5 |        | (филиал в г. Сергиев Посад)
  681 |     17 | 14             | Фирменный автосервис                                                                                                   |       1 |    0 |         2002 |    5 |        | (филиал в г.Вязьме)
  689 |     50 |                |                                                                                                                        |       1 |    0 |         2002 |    5 |        | (филиал в г.Сергиев Посад МО)
  695 |      6 |                | Корпоративные информационные системы                                                                                   |       1 |    0 |         2007 |    5 |        | (филиал в г.Кинешме)
  655 |     78 | 08             | Управление финансами на предприятии                                                                                    |       2 |    1 |         2004 |    4 |        | (филиал в городе Киров)
  571 |     51 |                |                                                                                                                        |       2 |    2 |         2006 |  5.5 |        | 
 1019 |      6 | 07             | Производственный менеджмент                                                                                            |       1 |    0 |         2008 |    5 |        | (филиал в г.Вязьме)
 1051 |     13 | 01             | Организация производства                                                                                               |       3 |    0 |         2008 |  5.5 |        | Второе высшее для направления 140500
  663 |     17 | 15             | Безопасность автомобиля                                                                                                |       2 |    2 |         2008 |  5.5 |        | (филиал в городе Киров)
 1032 |     13 | 01             | Организация производства                                                                                               |       3 |    0 |         2008 |  5.5 |        | Второе высшее для специальности 220301
 1033 |     13 | 01             | Организация производства                                                                                               |       3 |    0 |         2008 |  5.5 |        | Второе высшее для специальности 140104
  844 |      6 |                | Корпоративные информационные системы                                                                                   |       1 |    2 |         2009 |    5 |        | (филиал в г. Вязьме)
  845 |     15 |                |                                                                                                                        |       2 |    2 |         2009 |    4 |        | (филиал в г. Вязьме)
  853 |     43 |                |                                                                                                                        |       1 |    0 |         2010 |    5 |        | 
  856 |     10 |                | Управление экономической безопасностью                                                                                 |       1 |    0 |         2010 |    5 |        | 
  857 |     13 | 08             | Управление финансами на предприятии                                                                                    |       1 |    0 |         2010 |    5 |        | 
